Scientific Name,Common Name,38 cell flat           (unit price/plug)  ,"32 tray                (unit price/2""pot) ",12 ct. quart tray              (unit price/qt.) 
Lobelia siphilitica,Blue Lobelia,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Lupinus perennis,Lupine,,$94.40 ($2.95) ~,
Maianthemum racemosum,False Solomon Seal,,,
Maianthemum stellatum,Starry Solomon Seal,,,
Mertensia virginica ,Virginia Bluebells,,$94.40 ($2.95) ~,
Mimulus ringens,Monkey-Flower,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Mitella diphylla,Bishop's Cap,,$94.40 ($2.95) ~,
Monarda fistulosa,Bee-Balm,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Monarda punctata,Horsemint,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Opuntia humifusa,Prickly Pear,,$73.60 ($2.30),$59.40 ($4.95)
Packera aurea,Golden Ragwort,$50.92 ($1.34),$44.48 ($1.39),
Packera obovata,Round-Leaved Ragwort,$50.92 ($1.34),$44.48 ($1.39),
Penstemon digitalis,Beardtongue,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Penstemon hirsutus,Penstemon,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Phlox divaricata,Woodland Phlox,$76.00 ($2.00),$73.60 ($2.30),$71.40 ($5.95)
Phlox pilosa,Prairie Phlox,$60.80 ($1.60),$73.60 ($2.30),$59.40 ($4.95)
Physostegia virginiana ,Obedient Plant,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Polemonium reptans ,Jacob's Ladder,$60.80 ($1.60),$73.60 ($2.30),$71.40 ($5.95)
Polygonatum biflorum,True Solomon Seal,,,
Pontederia cordata,Pickerel Weed,$3.75 plug ,,
Potentilla anserina,Silverweed,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Potentilla simplex,Common Cinquefoil,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Pycnanthemum virginianum,Mountain-Mint,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Ranunculus hispidus,Swamp Buttercup,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Ratibida pinnata,Yellow Coneflower,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Rhexia virginica,Meadow Beauty,$60.80 ($1.60),$73.60 ($2.30),$71.40 ($5.95)
Rudbeckia fulgida,Black-Eyed Susan,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Rudbeckia hirta,Black-Eyed Susan,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Rudbeckia laciniata ,Grn-headed Coneflower,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Ruellia humilis,Wild Petunia,$60.80 ($1.60),$73.60 ($2.30),$59.40 ($4.95)
Sagittaria latifolia,Common Arrowhead,    $1.80 plug or bare root,,
Saururus cernuus,Lizard's-Tail,$60.80 ($1.60),$73.60 ($2.30),
Scutellaria lateriflora,Mad-Dog Skullcap,$50.92 ($1.34),$44.48 ($1.39),
Senna hebecarpa,Wild Senna,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Silphium integrifolium,Rosin Weed,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Silphium laciniatum,Compass Plant,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Silphium perfoliatum,Cup Plant,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Silphium terebinthinaceum ,Prairie-Dock,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Sisyrinchium angustifolium,Blue-eyed Grass,,$94.40 ($2.95) ~,$71.40 ($5.95)
Solidago caesia,Bluestem Goldenrod,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
