152550,"10/2/2015 7:42","10/2/2015 7:51","SEA00022",535.976,"Seattle University / E Columbia St & 12th Ave","Occidental Park / Occidental Ave S & S Washington St","FH-04","PS-04","Member","Male",1980
152551,"10/2/2015 7:43","10/2/2015 8:06","SEA00309",1371.258,"Seattle University / E Columbia St & 12th Ave","3rd Ave & Broad St","FH-04","BT-01","Member","Female",1982
152554,"10/2/2015 7:49","10/2/2015 7:55","SEA00428",359.135,"E Harrison St & Broadway Ave E","Seattle University / E Columbia St & 12th Ave","CH-02","FH-04","Member","Male",1987
152558,"10/2/2015 7:58","10/2/2015 8:10","SEA00300",692.158,"15th Ave E & E Thomas St","Frye Art Museum / Terry Ave & Columbia St","CH-05","FH-01","Member","Female",1985
152565,"10/2/2015 8:06","10/2/2015 8:12","SEA00397",375.012,"12th Ave & E Mercer St","Seattle University / E Columbia St & 12th Ave","CH-15","FH-04","Member","Female",1993
152590,"10/2/2015 8:39","10/2/2015 8:45","SEA00413",381.494,"Frye Art Museum / Terry Ave & Columbia St","2nd Ave & Spring St","FH-01","CBD-06","Member","Male",1976
152599,"10/2/2015 8:51","10/2/2015 8:57","SEA00397",356.571,"Seattle University / E Columbia St & 12th Ave","6th Ave S & S King St","FH-04","ID-04","Member","Male",1968
152648,"10/2/2015 10:07","10/2/2015 10:14","SEA00356",413.234,"15th Ave E & E Thomas St","Seattle University / E Columbia St & 12th Ave","CH-05","FH-04","Member","Female",1979
152666,"10/2/2015 10:38","10/2/2015 18:22","SEA00222",27837.691,"Seattle University / E Columbia St & 12th Ave","Pine St & 9th Ave","FH-04","SLU-16","Short-Term Pass Holder",,
152667,"10/2/2015 10:38","10/2/2015 18:22","SEA00200",27852.582,"Seattle University / E Columbia St & 12th Ave","Pine St & 9th Ave","FH-04","SLU-16","Short-Term Pass Holder",,
152679,"10/2/2015 11:33","10/2/2015 11:44","SEA00449",628.754,"Frye Art Museum / Terry Ave & Columbia St","Union St & 4th Ave","FH-01","CBD-04","Short-Term Pass Holder",,
152685,"10/2/2015 11:37","10/2/2015 11:48","SEA00141",640.504,"Seattle University / E Columbia St & 12th Ave","E Harrison St & Broadway Ave E","FH-04","CH-02","Member","Female",1982
152689,"10/2/2015 11:41","10/2/2015 11:53","SEA00353",741.946,"Frye Art Museum / Terry Ave & Columbia St","Frye Art Museum / Terry Ave & Columbia St","FH-01","FH-01","Short-Term Pass Holder",,
152690,"10/2/2015 11:42","10/2/2015 11:53","SEA00407",689.388,"Frye Art Museum / Terry Ave & Columbia St","Frye Art Museum / Terry Ave & Columbia St","FH-01","FH-01","Short-Term Pass Holder",,
152694,"10/2/2015 11:55","10/2/2015 12:07","SEA00171",704.983,"Frye Art Museum / Terry Ave & Columbia St","Occidental Park / Occidental Ave S & S Washington St","FH-01","PS-04","Short-Term Pass Holder",,
152695,"10/2/2015 11:55","10/2/2015 12:07","SEA00418",704.769,"Frye Art Museum / Terry Ave & Columbia St","Occidental Park / Occidental Ave S & S Washington St","FH-01","PS-04","Short-Term Pass Holder",,
152696,"10/2/2015 11:55","10/2/2015 12:07","SEA00244",679.733,"Frye Art Museum / Terry Ave & Columbia St","Occidental Park / Occidental Ave S & S Washington St","FH-01","PS-04","Short-Term Pass Holder",,
152697,"10/2/2015 11:55","10/2/2015 12:07","SEA00407",667.557,"Frye Art Museum / Terry Ave & Columbia St","Occidental Park / Occidental Ave S & S Washington St","FH-01","PS-04","Short-Term Pass Holder",,
152764,"10/2/2015 15:09","10/2/2015 15:35","SEA00397",1536.779,"Frye Art Museum / Terry Ave & Columbia St","12th Ave & E Mercer St","FH-01","CH-15","Short-Term Pass Holder",,
152765,"10/2/2015 15:09","10/2/2015 15:36","SEA00353",1597.846,"Frye Art Museum / Terry Ave & Columbia St","12th Ave & E Mercer St","FH-01","CH-15","Short-Term Pass Holder",,
152767,"10/2/2015 15:10","10/2/2015 15:35","SEA00423",1502.228,"Frye Art Museum / Terry Ave & Columbia St","12th Ave & E Mercer St","FH-01","CH-15","Short-Term Pass Holder",,
152768,"10/2/2015 15:10","10/2/2015 15:36","SEA00324",1533.045,"Frye Art Museum / Terry Ave & Columbia St","12th Ave & E Mercer St","FH-01","CH-15","Short-Term Pass Holder",,
152779,"10/2/2015 15:47","10/2/2015 16:18","SEA00271",1882.408,"3rd Ave & Broad St","Frye Art Museum / Terry Ave & Columbia St","BT-01","FH-01","Short-Term Pass Holder",,
152797,"10/2/2015 16:15","10/2/2015 16:21","SEA00418",370.325,"Frye Art Museum / Terry Ave & Columbia St","12th Ave & E Yesler Way","FH-01","CD-01","Member","Female",1970
152873,"10/2/2015 18:12","10/2/2015 18:20","SEA00338",425.167,"Frye Art Museum / Terry Ave & Columbia St","Bellevue Ave & E Pine St","FH-01","CH-12","Member","Male",1988
152913,"10/2/2015 19:34","10/2/2015 19:39","SEA00066",266.927,"12th Ave & E Denny Way","Seattle University / E Columbia St & 12th Ave","CH-06","FH-04","Member","Male",1990
152925,"10/2/2015 20:08","10/2/2015 20:54","SEA00271",2774.025,"Frye Art Museum / Terry Ave & Columbia St","Frye Art Museum / Terry Ave & Columbia St","FH-01","FH-01","Member","Male",1956
152985,"10/3/2015 5:48","10/3/2015 5:55","SEA00085",378.256,"Bellevue Ave & E Pine St","Frye Art Museum / Terry Ave & Columbia St","CH-12","FH-01","Member","Male",1988
153009,"10/3/2015 9:51","10/3/2015 9:56","SEA00171",329.341,"Frye Art Museum / Terry Ave & Columbia St","6th Ave S & S King St","FH-01","ID-04","Member","Male",1987
153019,"10/3/2015 10:17","10/3/2015 10:46","SEA00134",1762.326,"2nd Ave & Vine St","Seattle University / E Columbia St & 12th Ave","BT-03","FH-04","Short-Term Pass Holder",,
153020,"10/3/2015 10:19","10/3/2015 10:46","SEA00289",1643.823,"2nd Ave & Vine St","Seattle University / E Columbia St & 12th Ave","BT-03","FH-04","Short-Term Pass Holder",,
153097,"10/3/2015 13:49","10/3/2015 13:56","SEA00134",393.477,"Seattle University / E Columbia St & 12th Ave","Bellevue Ave & E Pine St","FH-04","CH-12","Member","Female",1964
153295,"10/3/2015 18:04","10/3/2015 18:10","SEA00085",344.04,"Frye Art Museum / Terry Ave & Columbia St","Bellevue Ave & E Pine St","FH-01","CH-12","Member","Male",1988
153299,"10/3/2015 18:11","10/3/2015 18:18","SEA00305",400.209,"Cal Anderson Park / 11th Ave & Pine St","Seattle University / E Columbia St & 12th Ave","CH-08","FH-04","Member","Female",1947
153326,"10/3/2015 19:37","10/3/2015 20:27","SEA00300",2972.778,"Frye Art Museum / Terry Ave & Columbia St","Frye Art Museum / Terry Ave & Columbia St","FH-01","FH-01","Member","Male",1956
153350,"10/3/2015 20:36","10/3/2015 20:39","SEA00242",238.225,"Cal Anderson Park / 11th Ave & Pine St","Seattle University / E Columbia St & 12th Ave","CH-08","FH-04","Member","Male",1978
153426,"10/4/2015 9:14","10/4/2015 9:21","SEA00300",415.343,"Frye Art Museum / Terry Ave & Columbia St","Cal Anderson Park / 11th Ave & Pine St","FH-01","CH-08","Member","Male",1987
